Date,Open,High,Low,Close,Adj Close,Volume
2019-06-12,7493.549805,7507.520020,7459.200195,7472.290039,7472.290039,1952790000
2019-06-13,7500.850098,7530.910156,7487.089844,7510.680176,7510.680176,1838930000
2019-06-14,7476.470215,7500.740234,7454.870117,7479.109863,7479.109863,1804340000
2019-06-17,7500.279785,7546.990234,7492.169922,7526.520020,7526.520020,1935290000
2019-06-18,7606.609863,7689.080078,7595.589844,7635.399902,7635.399902,2244920000
2019-06-19,7652.520020,7681.560059,7606.279785,7667.740234,7667.740234,2014080000
2019-06-20,7770.169922,7770.609863,7681.430176,7738.049805,7738.049805,2053530000
2019-06-21,7719.419922,7772.529785,7708.250000,7728.779785,7728.779785,2894340000
2019-06-24,7737.000000,7746.680176,7720.779785,7723.020020,7723.020020,2070370000
2019-06-25,7720.910156,7723.040039,7584.169922,7591.540039,7591.540039,2127310000
2019-06-26,7642.919922,7688.640137,7616.910156,7627.049805,7627.049805,2104750000
2019-06-27,7656.680176,7672.979980,7636.720215,7657.049805,7657.049805,2023120000
2019-06-28,7674.520020,7682.259766,7639.450195,7671.080078,7671.080078,4078990000
2019-07-01,7816.560059,7820.810059,7735.669922,7768.140137,7768.140137,2208900000
2019-07-02,7763.029785,7800.470215,7746.009766,7799.819824,7799.819824,1946320000
2019-07-03,7819.060059,7857.689941,7811.290039,7857.689941,7857.689941,1548190000
2019-07-05,7806.069824,7854.709961,7774.589844,7841.299805,7841.299805,36710000
2019-07-08,7790.459961,7841.299805,7756.109863,7785.790039,7785.790039,43360000
2019-07-09,7748.290039,7833.930176,7748.229980,7826.859863,7826.859863,1866770000
2019-07-10,7869.729980,7923.930176,7858.680176,7903.399902,7903.399902,2060510000
2019-07-11,7918.649902,7934.600098,7873.160156,7896.779785,7896.779785,1966970000
2019-07-12,7908.580078,7944.080078,7900.390137,7943.240234,7943.240234,1824870000
2019-07-15,7961.069824,7969.790039,7940.450195,7966.930176,7966.930176,1783980000
2019-07-16,7958.439941,7965.759766,7904.950195,7927.080078,7927.080078,1933960000
2019-07-17,7927.910156,7941.100098,7887.979980,7888.759766,7888.759766,1846960000
2019-07-18,7850.120117,7912.330078,7827.490234,7904.129883,7904.129883,2016310000
2019-07-19,7944.859863,7950.220215,7832.390137,7834.899902,7834.899902,1878730000
2019-07-22,7862.379883,7918.470215,7862.270020,7905.120117,7905.120117,1845770000
2019-07-23,7946.049805,7955.089844,7895.049805,7954.560059,7954.560059,1832220000
2019-07-24,7928.779785,8010.830078,7926.990234,8010.609863,8010.609863,1947550000
2019-07-25,7979.140137,7983.959961,7921.209961,7929.870117,7929.870117,2023130000
2019-07-26,7992.129883,8027.180176,7986.720215,8016.950195,8016.950195,1954350000
2019-07-29,8010.049805,8010.049805,7939.979980,7989.080078,7989.080078,1874780000
2019-07-30,7927.560059,7983.109863,7923.450195,7952.470215,7952.470215,1884300000
2019-07-31,7972.759766,7979.200195,7774.930176,7848.779785,7848.779785,2667060000
2019-08-01,7866.600098,8000.939941,7769.020020,7801.149902,7801.149902,2792650000
2019-08-02,7740.910156,7755.089844,7645.180176,7692.799805,7692.799805,2252550000
2019-08-05,7510.020020,7528.899902,7356.270020,7415.689941,7415.689941,2636740000
2019-08-06,7492.020020,7541.740234,7432.310059,7521.319824,7521.319824,2201610000
2019-08-07,7436.140137,7569.899902,7386.390137,7551.899902,7551.899902,2453230000
2019-08-08,7608.029785,7726.459961,7576.819824,7724.830078,7724.830078,2415670000
2019-08-09,7684.560059,7709.509766,7591.140137,7646.270020,7646.270020,2214330000
2019-08-12,7597.189941,7623.439941,7528.950195,7561.680176,7561.680176,2056360000
2019-08-13,7553.430176,7778.339844,7553.330078,7728.149902,7728.149902,2346980000
2019-08-14,7594.640137,7621.700195,7480.580078,7490.129883,7490.129883,2522870000
2019-08-15,7503.140137,7523.500000,7429.359863,7484.890137,7484.890137,2182590000
2019-08-16,7548.899902,7622.729980,7548.899902,7604.109863,7604.109863,1995130000
2019-08-19,7715.410156,7740.740234,7604.109863,7719.319824,7719.319824,1934980000
2019-08-20,7708.310059,7731.310059,7664.209961,7664.470215,7664.470215,1747580000
2019-08-21,7731.750000,7754.660156,7706.569824,7733.220215,7733.220215,1716370000
2019-08-22,7750.979980,7764.790039,7649.279785,7707.430176,7707.430176,1777630000
2019-08-23,7658.479980,7722.430176,7442.930176,7464.990234,7464.990234,2207070000
2019-08-26,7540.689941,7577.770020,7506.169922,7575.020020,7575.020020,1688860000
2019-08-27,7630.459961,7640.680176,7531.959961,7566.029785,7566.029785,1912530000
2019-08-28,7536.700195,7598.149902,7500.220215,7587.899902,7587.899902,1656930000
2019-08-29,7678.689941,7723.939941,7654.310059,7702.310059,7702.310059,1700840000
2019-08-30,7743.229980,7747.080078,7642.899902,7691.000000,7691.000000,1665840000
2019-09-03,7634.029785,7670.169922,7584.819824,7609.509766,7609.509766,1936210000
2019-09-04,7683.779785,7724.910156,7663.640137,7719.250000,7719.250000,1891300000
2019-09-05,7803.450195,7879.970215,7803.450195,7862.540039,7862.540039,2096300000
2019-09-06,7868.870117,7874.990234,7835.890137,7852.540039,7852.540039,1876380000
2019-09-09,7876.399902,7877.410156,7795.859863,7832.399902,7832.399902,2172240000
2019-09-10,7793.279785,7817.580078,7743.609863,7814.740234,7814.740234,2362860000
2019-09-11,7820.709961,7888.339844,7812.069824,7887.580078,7887.580078,2310440000
2019-09-12,7931.959961,7975.330078,7907.330078,7917.339844,7917.339844,2159260000
