Date,Open,High,Low,Close,Adj Close,Volume
2019-06-12,48.490002,48.669998,46.849998,47.279999,46.509953,83700
2019-06-13,48.660000,49.599998,48.599998,49.110001,48.310146,151900
2019-06-14,49.410000,49.410000,48.490002,48.619999,47.828125,78300
2019-06-17,49.520000,50.189999,49.130001,49.160000,48.359329,72700
2019-06-18,50.060001,51.630001,49.930000,51.439999,50.602200,212100
2019-06-19,51.009998,52.500000,50.900002,51.730000,50.887470,98700
2019-06-20,54.880001,55.840000,54.770000,55.330002,54.428841,177100
2019-06-21,53.500000,54.480000,53.080002,54.230000,53.346756,146800
2019-06-24,54.869999,55.259998,54.230000,55.119999,54.222260,121100
2019-06-25,54.099998,54.400002,52.950001,53.259998,52.454407,71700
2019-06-26,54.270000,56.040001,54.259998,55.110001,54.276428,56200
2019-06-27,55.480000,55.900002,54.919998,55.189999,54.355217,71600
2019-06-28,55.540001,55.540001,53.400002,53.910000,53.094574,60000
2019-07-01,56.470001,56.599998,55.049999,55.529999,54.690075,90800
2019-07-02,55.070000,55.340000,54.400002,54.910000,54.079453,119300
2019-07-03,55.189999,55.990002,54.980000,55.889999,55.044628,67400
2019-07-05,55.560001,55.689999,54.939999,55.330002,54.493103,52200
2019-07-08,55.220001,56.439999,55.099998,56.200001,55.349941,103700
2019-07-09,55.599998,55.820000,54.770000,54.959999,54.128693,42600
2019-07-10,56.820000,57.439999,56.630001,57.099998,56.236328,94600
2019-07-11,55.709999,56.040001,55.139999,55.860001,55.015087,48100
2019-07-12,54.439999,55.619999,54.270000,55.450001,54.611286,42700
2019-07-15,56.060001,56.320000,55.040001,55.389999,54.552193,42400
2019-07-16,54.480000,55.299999,53.900002,54.430000,53.606712,61500
2019-07-17,55.290001,55.500000,54.009998,54.009998,53.193066,73000
2019-07-18,54.259998,55.320000,53.669998,55.160000,54.325668,50200
2019-07-19,55.110001,55.110001,53.459999,53.709999,52.897598,105500
2019-07-22,53.520000,53.790001,52.689999,52.939999,52.139248,58600
2019-07-23,53.509998,54.320000,53.169998,54.160000,53.340797,67700
2019-07-24,53.540001,53.759998,52.770000,53.169998,52.365768,50600
2019-07-25,54.799999,54.799999,53.040001,53.380001,52.572598,48800
2019-07-26,54.200001,54.730000,53.040001,53.360001,52.552898,35800
2019-07-29,53.340000,53.980000,52.880001,53.900002,53.084736,32900
2019-07-30,53.709999,53.709999,52.639999,53.330002,52.523354,30500
2019-07-31,53.750000,54.200001,50.340000,52.389999,51.597572,58000
2019-08-01,51.689999,52.220001,48.630001,48.820000,48.081570,81000
2019-08-02,47.119999,47.330002,45.820000,46.250000,45.550438,102500
2019-08-05,44.959999,45.080002,43.430000,43.910000,43.245834,44800
2019-08-06,45.919998,46.410000,45.490002,45.849998,45.156490,59800
2019-08-07,44.860001,46.270000,44.360001,46.200001,45.501198,38700
2019-08-08,46.540001,47.040001,46.439999,46.900002,46.190613,28300
2019-08-09,45.540001,45.740002,44.439999,45.009998,44.329193,53600
2019-08-12,44.750000,45.209999,44.279999,44.570000,43.895851,37900
2019-08-13,43.349998,45.880001,43.110001,45.049999,44.368591,43700
2019-08-14,42.090000,42.340000,40.560001,41.009998,40.389698,147800
2019-08-15,40.689999,40.970001,39.840000,40.279999,39.670742,85500
2019-08-16,39.959999,40.189999,39.430000,39.529999,38.932083,57800
2019-08-19,39.720001,40.040001,39.459999,39.770000,39.168453,42900
2019-08-20,40.840000,41.360001,40.209999,40.840000,40.222271,60600
2019-08-21,42.459999,42.630001,42.060001,42.369999,41.729130,63400
2019-08-22,42.669998,42.959999,42.169998,42.799999,42.152626,78400
2019-08-23,41.650002,42.759998,40.180000,40.869999,40.251816,80700
2019-08-26,41.700001,41.830002,41.279999,41.509998,40.882137,35700
2019-08-27,40.880001,41.279999,40.130001,40.689999,40.074539,42500
2019-08-28,41.110001,41.900002,40.820000,41.610001,40.980625,36600
2019-08-29,42.860001,43.290001,42.150002,42.869999,42.221565,59300
2019-08-30,44.209999,44.500000,43.500000,43.770000,43.107952,45900
2019-09-03,44.450001,45.849998,44.419998,45.810001,45.117100,47000
2019-09-04,47.560001,48.160000,47.189999,48.160000,47.431545,54400
2019-09-05,48.619999,48.750000,47.480000,47.709999,46.988354,32100
2019-09-06,48.270000,48.889999,48.080002,48.509998,47.776253,34100
2019-09-09,48.660000,48.810001,48.169998,48.709999,47.973228,35000
2019-09-10,48.540001,49.200001,48.200001,48.970001,48.229301,25800
2019-09-11,50.230000,51.000000,49.450001,50.049999,49.292965,53000
2019-09-12,50.410000,51.730000,50.200001,50.869999,50.100559,36500
2019-09-13,51.639999,52.000000,51.160000,51.799999,51.016491,33100
2019-09-16,53.570000,55.169998,53.240002,54.810001,53.980965,92400
2019-09-17,53.450001,53.450001,51.830002,52.470001,51.676357,51600
2019-09-18,52.189999,52.779999,50.939999,52.099998,51.311954,22600
2019-09-19,52.310001,52.599998,51.330002,51.490002,50.711185,36300
2019-09-20,51.230000,51.430000,50.259998,50.680000,49.913433,51000
2019-09-23,50.150002,51.790001,50.150002,51.660000,50.878609,26800
2019-09-24,51.299999,51.299999,48.660000,48.869999,48.188644,37000
2019-09-25,48.139999,49.130001,47.650002,48.910000,48.228088,19800
2019-09-26,49.810001,50.000000,49.070000,49.380001,48.691536,15000
2019-09-27,48.650002,49.009998,47.099998,47.529999,46.867325,25000
2019-09-30,47.110001,47.470001,46.410000,46.439999,45.792522,15200
2019-10-01,46.980000,46.980000,45.410000,45.560001,44.924797,19000
2019-10-02,45.080002,45.189999,43.669998,44.380001,43.761246,26100
